place,latitude,longitude,count
"Lima, Peru",-12.0621065,-77.0365256,1
"Sucre, Provincia Oropeza, Chuquisaca, 9999, Bolivia",-19.0477251,-65.2594306,1
"Guadalajara, Jalisco, 44360, México",20.6720375,-103.3383962,1
"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela",10.506098,-66.9146017,1
"Monterrey, Nuevo León, México",25.63978365,-100.293101629066,1
"St. Gallen, Wahlkreis St. Gallen, Sankt Gallen, Switzerland",47.4250593,9.3765878,1
"Puebla, México",18.833333,-98.0,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México",19.4326009,-99.1333416,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Котово, Котовский район, Волгоградская область, Южный федеральный округ, 403805, Россия",50.322208,44.801643,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Chilpancingo, Chilpancingo de los Bravo, Guerrero, 39000, México",17.5542149,-99.5048416,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela",10.506098,-66.9146017,1
"Rio de Janeiro, Microrregião Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9110137,-43.2093727,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia",-17.3935853,-66.1569588,1
"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia",-17.7834936,-63.1820853,1
"Distrito Federal, Região Centro-Oeste, Brasil",-15.7754462,-47.7970891,1
"Córdoba, Andalucía, España",37.8845813,-4.7760138,1
"Coronel Oviedo, Caaguazú, Región Oriental, 3300, Paraguay",-25.450055,-56.4406994,1
"Belo Horizonte, Microrregião Belo Horizonte, Região Metropolitana de Belo Horizonte, Mesorregião Metropolitana de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil",-19.9227318,-43.9450948,1
"Loja, Comarca de Loja, Granada, Andalucía, España",37.1664839,-4.1496374,1
"Guápiles, Cantón Pococí, Provincia Limón, 70201, Costa Rica",10.2152164,-83.7913841,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
Colombia,2.8894434,-73.783892,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, Argentina",-38.7182364,-62.266245,1
"White Plains, Westchester County, New York, United States",41.0339862,-73.7629097,1
"Avellaneda, Partido de Avellaneda, Buenos Aires, 1870, Argentina",-34.6648394,-58.3628061,1
"Miami, Miami-Dade County, Florida, United States of America",25.7742658,-80.1936589,1
"Cincinnati, Hamilton County, Ohio, United States of America",39.1014537,-84.5124602,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.5506507,-46.6333824,1
"Bogotá, Distrito Capital de Bogotá, 110321, Colombia",4.59808,-74.0760439,1
Bolivia,-17.0568696,-64.9912286,1
"Evolución, Guadalupe, Nuevo León, México",25.6702323,-100.146835526321,1
"Miami, Miami-Dade County, Florida, United States of America",25.7742658,-80.1936589,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Toluca, Estado de México, 50150, México",19.292545,-99.6569007,1
"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica",9.8694792,-83.7980749,1
"València, Comarca de València, València / Valencia, Comunitat Valenciana, España",39.4699014,-0.3759513,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela",10.506098,-66.9146017,1
"Tabasco, México",17.95078635,-92.483122132414,1
"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México",19.4326009,-99.1333416,1
"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia",-17.3935853,-66.1569588,1
"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",-32.9595004,-60.6615415,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Guadalajara, Jalisco, 44360, México",20.6720375,-103.3383962,1
"Apóstoles, Municipio de Apóstoles, Departamento Apóstoles, Misiones, 3350, Argentina",-27.9139657,-55.7549174,1
"Toluca, Estado de México, 50150, México",19.292545,-99.6569007,1
"Cuenca, Castilla-La Mancha, España",40.0681156,-2.1348241,1
"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela",10.506098,-66.9146017,1
"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666,1
"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Nuevo León, México",26.2384363,-99.8873,1
"Tampico, Tamaulipas, 89160, México",22.2329889,-97.8614802,1
"Maracaibo, Municipio Maracaibo, Zulia, 4001, Venezuela",10.6499149,-71.6396282,1
"Nueva Santa Anita, Iztacalco, Ciudad de México, 08210, México",19.3995065,-99.1269451,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Roma, Roma Capitale, Lazio, Italia",41.894802,12.4853384,1
"Três Lagoas, Microrregião de Três Lagoas, Mesorregião Leste de Mato Grosso do Sul, Mato Grosso do Sul, Região Centro-Oeste, Brasil",-20.7866799,-51.7061247,1
"Acapulco, Acapulco de Juárez, Guerrero, 39300, México",16.8680495,-99.8940182,1
"San Juan, Puerto Rico, 00901, United States of America",18.465299,-66.116666,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Carapicuíba, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.5234673,-46.8406808,1
"Puerto Varas, Provincia de Llanquihue, Región de Los Lagos, Chile",-41.3178431,-72.9827187,1
"Portland, Multnomah County, Oregon, United States of America",45.5202471,-122.6741949,1
"Córdoba, Andalucía, España",37.8845813,-4.7760138,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",43.6044622,1.4442469,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Monterrey, Nuevo León, México",25.63978365,-100.293101629066,1
"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia",-17.3935853,-66.1569588,1
"Bragança Paulista, Região Imediata de Bragança Paulista, São Paulo, Região Sudeste, Brasil",-22.9520235,-46.5418586,1
"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212,1
Argentina,-34.9964963,-64.9672817,1
"El Salto, Jalisco, México",20.53910005,-103.240377528528,1
"Zona Hotelera, San José del Cabo, Los Cabos, Baja California Sur, 23400, México",23.0443231,-109.6994412,1
"Centre-Val de Loire, France métropolitaine, France",47.5490251,1.7324062,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.5506507,-46.6333824,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Iquique, Provincia de Iquique, Región de Tarapacá, Chile",-20.2140657,-70.1524646,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Guadalajara, Jalisco, 44360, México",20.6720375,-103.3383962,1
"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Casa Mosquera, Corral de Almaguer, Toledo, Castilla-La Mancha, España",39.6830845,-3.123565,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Cuenca, Castilla-La Mancha, España",40.0681156,-2.1348241,1
"Masaya, Masaya (Municipio), Masaya, 41000, Nicaragua",11.9763955,-86.0882612,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.5094409,-70.756182,1
"San Fernando, Chiapas, México",16.9134645,-93.2203812018791,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Tacna, Perú",-18.0138696,-70.2511597,1
"Vicente López, Partido de Vicente López, Buenos Aires, Argentina",-34.5244484,-58.5036282,1
"Jalisco, México",20.3333331,-103.6666671,1
"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México",19.4326009,-99.1333416,1
"Zirc, Zirci járás, Veszprém megye, Közép-Dunántúl, Dunántúl, 8420, Magyarország",47.2613795,17.8718188,1
"Puebla, México",18.833333,-98.0,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia",-17.3935853,-66.1569588,1
"Bogotá, Distrito Capital de Bogotá, 110321, Colombia",4.59808,-74.0760439,1
"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia",-17.7834936,-63.1820853,1
"Santo Domingo, Santo Domingo De Guzmán, Distrito Nacional, 10129, República Dominicana",18.4801972,-69.942111,1
"Berlin, 10117, Deutschland",52.5170365,13.3888599,1
"Bogotá, Distrito Capital de Bogotá, 110321, Colombia",4.59808,-74.0760439,1
"Santo Tomás, Departamento de San Salvador, República de El Salvador",13.64244735,-89.1478442079655,1
"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela",10.506098,-66.9146017,1
"Zapopan, Jalisco, 45129, México",20.7032055,-103.4261243,1
"Tabasco, México",17.95078635,-92.483122132414,1
"Juárez, Nuevo León, México",25.6076075,-100.156794109351,1
"Minas Gerais, Região Sudeste, Brasil",-18.5264844,-44.1588654,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Mérida, Badajoz, Extremadura, 06800, España",38.9174665,-6.3443977,1
"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",43.6044622,1.4442469,1
