screen_name,location
ronymazzi,"Lima, Peru"
Joal_Cesotti,"Sucre, Provincia Oropeza, Chuquisaca, 9999, Bolivia"
TaipingPrashant,"Guadalajara, Jalisco, 44360, México"
Morales382,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
eliud10mt,"Monterrey, Nuevo León, México"
JaimeRivera1312,"St. Gallen, Wahlkreis St. Gallen, Sankt Gallen, Switzerland"
Santiago_ERC,"Puebla, México"
KAle2412,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
karinitapintos,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
bensi_mike,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
TheParanoidMan,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
loorvelezgina,"Котово, Окуловский район, Новгородская область, Северо-Западный федеральный округ, 174345, Россия"
PMishellL,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
cerebromorlet,"Chilpancingo, Chilpancingo de los Bravo, Guerrero, 39000, México"
SantiTezza,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
rafarafa_ve,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
Duplata,"Rio de Janeiro, Microrregião Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
EnzoOropeza,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
rodriguitito,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
gutiandrea_,"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia"
Vs2Clau,"Distrito Federal, Região Centro-Oeste, Brasil"
TommiAnacaratte,"Córdoba, Andalucía, España"
FarfiHoge,"Coronel Oviedo, Caaguazú, Región Oriental, 3300, Paraguay"
joaovitorjv,"Belo Horizonte, Microrregião Belo Horizonte, Região Metropolitana de Belo Horizonte, Mesorregião Metropolitana de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
DiegoOchoaMz,"Loja, Comarca de Loja, Granada, Andalucía, España"
hcordero1972a,"Guápiles, Cantón Pococí, Provincia Limón, 70201, Costa Rica"
juanquitm,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
huertas_oscar,Colombia
Nur_Hegel,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
Nicolas_Strad,"Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, Argentina"
WestchesterHisp,"White Plains, Westchester County, New York, United States"
NSANoticias,"Avellaneda, Partido de Avellaneda, Buenos Aires, 1870, Argentina"
FabianaJustin15,"Miami, Miami-Dade County, Florida, United States of America"
Sevla_Socram_17,"Cincinnati, Hamilton County, Ohio, United States of America"
andreapaza99,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
helopait,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
ArmandoForigua,"Bogotá, Distrito Capital de Bogotá, 110321, Colombia"
David_Kaiser1,Bolivia
Alejand07159837,"Evolución, Guadalupe, Nuevo León, México"
joseguerrero74,"Miami, Miami-Dade County, Florida, United States of America"
alej_AJ,"Santa Cruz, Argentina"
luisareynaldez,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
AleRuizBlas2,"Toluca, Estado de México, 50150, México"
deepmales,"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica"
diegoclaure,"València, Comarca de València, València / Valencia, Comunitat Valenciana, España"
andrea__guti,"Santa Cruz, Argentina"
JorgeGomezARG,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
MarlystF,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
MikeSrzSansores,"Tabasco, México"
sirahuen_gs,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
MahiaZapata,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
MariaButarelli,"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pauvels7,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
monicar29342038,"Guadalajara, Jalisco, 44360, México"
BarlayusF,"Apóstoles, Municipio de Apóstoles, Departamento Apóstoles, Misiones, 3350, Argentina"
HumbertoRTho,"Toluca, Estado de México, 50150, México"
luisjimenez_p,"Cuenca, Castilla-La Mancha, España"
maduradascom,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
josizuazo,"Los Angeles, Los Angeles County, California, United States of America"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
DJVourez,"Santa Cruz, Argentina"
HctorRodrguezC7,"Nuevo León, México"
pingo06,"Tampico, Tamaulipas, 89160, México"
abarbati,"Maracaibo, Municipio Maracaibo, Zulia, 4001, Venezuela"
Pablitoreyes10,"Nueva Santa Anita, Iztacalco, Ciudad de México, 08210, México"
nairura,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
Natalia05266478,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
gramscista,"Roma, Roma Capitale, Lazio, Italia"
MateusH46341195,"Três Lagoas, Microrregião de Três Lagoas, Mesorregião Leste de Mato Grosso do Sul, Mato Grosso do Sul, Região Centro-Oeste, Brasil"
Arfago,"Acapulco, Acapulco de Juárez, Guerrero, 39300, México"
paisciego,"San Juan, Puerto Rico, 00901, United States of America"
CarlosHugoff,"Santa Cruz, Argentina"
JornalistaDSM,"Carapicuíba, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
teresa_iturbe,"Puerto Varas, Provincia de Llanquihue, Región de Los Lagos, Chile"
johnandrewshuck,"Portland, Multnomah County, Oregon, United States of America"
x_loren76,"Córdoba, Andalucía, España"
gustavoforgione,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
DanSilver2,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France"
Marly_wbc,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
yanethcruz,"Monterrey, Nuevo León, México"
pinto_andrs,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
ConfusioE,"Bragança Paulista, Região Imediata de Bragança Paulista, São Paulo, Região Sudeste, Brasil"
scrubsfan10,"Chicago, Cook County, Illinois, United States of America"
SilviaI62689419,Argentina
tastoacho,"El Salto, Jalisco, México"
ZHCANCUN,"Zona Hotelera, San José del Cabo, Los Cabos, Baja California Sur, 23400, México"
CamachoValdemar,"Centre-Val de Loire, France métropolitaine, France"
Mae_Esmi_S2,"Santa Cruz, Argentina"
fafibarbosa,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
aclladorez,"Santa Cruz, Argentina"
malmayiriti,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
NicoleSuarezM,"Santa Cruz, Argentina"
jo_ta_ene,"Iquique, Provincia de Iquique, Región de Tarapacá, Chile"
alajxpacha,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
Salvado79439053,"Guadalajara, Jalisco, 44360, México"
Luis_Salgado_C,"Los Angeles, Los Angeles County, California, United States of America"
gustavoforgione,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
EditorialUCauca,"Casa Mosquera, Corral de Almaguer, Toledo, Castilla-La Mancha, España"
FflabSC,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
Natalia05266478,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
DanieLocro,"Cuenca, Castilla-La Mancha, España"
7980collado,"Masaya, Masaya (Municipio), Masaya, 41000, Nicaragua"
jordiugartey,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
cristinasol,"Santa Cruz, Argentina"
chrale90,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
